ITEM_ID,LABEL
pubmed-23456787,0
pubmed-34908527,1
pubmed-24358452,0
pubmed-25451118,1
pubmed-31273723,1
scopus-84930427217,0
wos-000208443703061,0
pubmed-24023755,1
pubmed-32801156,0
pubmed-34309811,0
pubmed-30556326,0
pubmed-14674845,1
pubmed-16540584,1
pubmed-23495194,0
pubmed-14973240,0
pubmed-17878293,1
pubmed-28374847,0
pubmed-35013239,1
pubmed-31045243,1
pubmed-26300453,1
pubmed-29898395,0
pubmed-18544893,0
pubmed-36318534,0
pubmed-16818619,0
pubmed-36152629,0
pubmed-10555141,1
pubmed-23136410,1
pubmed-34354107,0
pubmed-18514431,0
pubmed-28928363,1
pubmed-18037993,0
pubmed-7976481,0
pubmed-32072336,1
pubmed-33287601,0
pubmed-9442260,0
pubmed-21029865,0
wos-000368371600019,0
pubmed-24295733,0
pubmed-34494546,0
pubmed-15811384,0
pubmed-35819332,0
pubmed-23348913,0
pubmed-16035034,0
pubmed-29311892,1
scopus-85050377639,0
pubmed-34909687,0
pubmed-33202683,0
pubmed-26477937,0
pubmed-33501714,1
pubmed-25061506,0
scopus-85096233015,0
pubmed-21972117,0
pubmed-29049287,0
pubmed-25811370,0
pubmed-21473985,0
pubmed-24363064,1
pubmed-23926248,0
pubmed-9060410,1
pubmed-26291160,0
pubmed-20133615,0
pubmed-25109237,0
pubmed-27277807,0
pubmed-16554754,0
pubmed-25196215,0
pubmed-28513774,0
scopus-85102473953,0
pubmed-18413370,0
pubmed-18506028,0
pubmed-25352779,0
pubmed-36293496,0
pubmed-35610565,0
wos-000823159800001,0
scopus-43549109219,0
pubmed-32011705,1
pubmed-26819276,0
pubmed-24477985,0
pubmed-9140392,0
pubmed-21767826,0
wos-000243616000019,0
wos-000351880000181,0
pubmed-25134682,0
pubmed-12671524,0
pubmed-34692539,0
pubmed-31120883,0
pubmed-34115327,0
pubmed-31978189,1
pubmed-35134716,0
pubmed-9731525,0
pubmed-21515581,0
pubmed-29651330,0
pubmed-32620897,0
pubmed-12486163,1
pubmed-33855352,0
wos-000401781800012,0
pubmed-27472223,1
scopus-33845340757,0
pubmed-34525371,0
pubmed-34535637,0
wos-000522632400012,0
wos-000431188500721,1
